,cantidad,keyword,toxicity
1037,1,Gonzalo Higuaín,0.22948287239999995
1046,1,Guido Antonini Wilson,0.18476578999999999
1038,1,Milan,0.22948287239999995
1082,1,CCC,0.33633828942029
1039,1,Serie A,0.22948287239999995
1040,1,Operativo Sapucay,0.1287652575
1081,1,Barrios de Pie,0.33633828942029
1041,1,Alejandro Collia,0.3118672605238095
1042,1,Daniel Scioli,0.3118672605238095
1080,1,Pablo Kosiner,0.24586670491176466
1043,1,Cámara Federal de Casación Penal,0.38113981
1044,1,Crimen organizado,0.38113981
1045,1,gustavo hornos,0.38113981
1107,1,Carlos Rosenkrantz,0.2680953083333334
982,1,Ciudad,0.2676400283636364
981,1,buenos aires camina,0.2676400283636364
1125,1,Javier Olmedo,0.15816144161764706
917,1,déficit cero,0.2561587707278478
1133,1,puente Hong Kong-Zhuhai-Macao,0.2654067284074074
918,1,Trevor Alleyne,0.2561587707278478
919,1,Trevor Allyne,0.2561587707278478
920,1,salario real,0.1963902378125
1132,1,Hong Kong,0.2654067284074074
921,1,servicios públicos,0.1963902378125
922,1,Tarifas de servicios,0.1963902378125
1131,1,segunda guerra mundial,0.2949660779117647
1130,1,Robert Faurisson,0.2949660779117647
1129,1,Scott Morrison,0.33249765
924,1,Luis Carzoglio,0.30553212552269504
925,1,Pablo Bebote Álvarez,0.30553212552269504
1128,1,australia,0.33249765
928,1,meteorito,0.17284310414285717
929,1,Misiones,0.17284310414285717
930,1,12 de octubre,0.2948871249240508
931,1,Día de la Hispanidad,0.2948871249240508
932,1,Leyenda negra,0.2948871249240508
1127,1,Abuso sexual en la Iglesia,0.33249765
933,1,Caso Santiago Maldonado,0.3901893108412699
934,1,conficto mapuche,0.3901893108412699
935,1,Encuentro Nacional de Mujeres,0.3200980718421052
936,1,Carlos Calvo,0.12335997408333334
937,1,Peter Lanzani,0.24301090333333333
916,1,nazareno sasia,0.046339812800000005
1134,1,Adnan Ghaith,0.5867791
915,1,Sofía Acevedo,0.16201933335000002
902,1,ébola,0.14706011000000002
1139,1,Exportación de gas natural,0.286709944
894,1,Javier Portales,0.2685942694720279
895,1,"""La China"" Suárez",0.2633541246538461
896,1,Rufina,0.2633541246538461
1138,1,Chile,0.286709944
897,1,Griselda Siciliani,0.4100611249999999
898,1,Gastón Soffritti,0.3817171425
899,1,Simona,0.3817171425
1137,1,Marcos Senesi,0.15511297000000002
900,1,Stefanía Roitman,0.3817171425
901,1,Congo,0.14706011000000002
903,1,samaria,0.1986222762
914,1,medalla de bronce,0.16201933335000002
1136,1,Barcelona,0.15511297000000002
904,1,Casa Real Británica,0.08341371806249999
905,1,Meghan Markle,0.08341371806249999
906,1,Príncipe Harry,0.08341371806249999
907,1,Yang Kaili,0.005974821
1135,1,Jihad Faqih,0.5867791
909,1,Nicolás Otamendi,0.18345500666666667
910,1,Los Pumitas 7s,0.26887473276923085
911,1,Rugby,0.26887473276923085
912,1,rugby seven,0.26887473276923085
913,1,basquet,0.16201933335000002
1126,1,Abuso sexual de menores,0.33249765
1124,1,Fernando Olmedo,0.15816144161764706
980,1,incendio,0.2121547625348836
938,1,Un gallo para Esculapio,0.24301090333333333
1112,1,submarinos,0.19915038322580642
956,1,metas presupuestarias,0.25231367883333344
957,1,Pérdida de poder adquisitivo,0.21688184407352945
